bay_id,st_marker_id,status,location,lat,lon
5423,11797W,Present,"(-37.81101113051285, 144.97546868544407)",-37.81101113051285,144.97546868544407
8130,15160N,Present,"(-37.81663498932373, 144.98116356058125)",-37.81663498932373,144.98116356058125
5807,12542N,Present,"(-37.81576864943921, 144.98054338231634)",-37.81576864943921,144.98054338231634
5543,12019W,Present,"(-37.813188546993985, 144.98296287078722)",-37.813188546993985,144.98296287078722
3568,7096N,Unoccupied,"(-37.80893103506304, 144.95319811001679)",-37.80893103506304,144.95319811001679
5821,12570N,Unoccupied,"(-37.81587181680066, 144.98148603607405)",-37.81587181680066,144.98148603607405
8311,12052E,Present,"(-37.809899150264044, 144.9837488503107)",-37.809899150264044,144.9837488503107
5551,12035W,Unoccupied,"(-37.81277389222967, 144.98303275474183)",-37.81277389222967,144.98303275474183
2541,C3046,Present,"(-37.81324922509783, 144.95894759013134)",-37.81324922509783,144.95894759013134
5550,12033W,Unoccupied,"(-37.8128246263403, 144.98302441993522)",-37.8128246263403,144.98302441993522
8128,15156N,Present,"(-37.816650137434166, 144.98130396822356)",-37.816650137434166,144.98130396822356
2235,3920N,Present,"(-37.81210381814597, 144.9549497590006)",-37.81210381814597,144.9549497590006
5833,12553S,Unoccupied,"(-37.81599647120727, 144.98091417073698)",-37.81599647120727,144.98091417073698
3693,7654N,Present,"(-37.804983236421904, 144.95695524712357)",-37.804983236421904,144.95695524712357
3181,5396E,Unoccupied,"(-37.80289333099149, 144.95668528481883)",-37.80289333099149,144.95668528481883
5727,12408N,Present,"(-37.810771427274034, 144.97681376619752)",-37.810771427274034,144.97681376619752
5796,12520N,Unoccupied,"(-37.81527779729569, 144.97608851401378)",-37.81527779729569,144.97608851401378
4326,C6990,Unoccupied,"(-37.80927211640835, 144.95621497884622)",-37.80927211640835,144.95621497884622
5798,12524N,Present,"(-37.81529246777221, 144.97622333117704)",-37.81529246777221,144.97622333117704
1901,2263W,Unoccupied,"(-37.816510247887585, 144.95725315964157)",-37.816510247887585,144.95725315964157
8982,7903W,Present,"(-37.824424484744476, 144.97035129260922)",-37.824424484744476,144.97035129260922
5431,11814E,Present,"(-37.813786523039134, 144.97777874546148)",-37.813786523039134,144.97777874546148
5486,11895W,Present,"(-37.81033788188465, 144.97811715353254)",-37.81033788188465,144.97811715353254
1504,1863S,Unoccupied,"(-37.81931040251153, 144.95758243964036)",-37.81931040251153,144.95758243964036
3803,C5434,Present,"(-37.80809212219789, 144.95473598666138)",-37.80809212219789,144.95473598666138
5569,12071W,Present,"(-37.81177509988307, 144.9831990790965)",-37.81177509988307,144.9831990790965
8324,12109W,Present,"(-37.80996020878682, 144.9835019189169)",-37.80996020878682,144.9835019189169
6268,13339W,Present,"(-37.819201103485526, 144.94841290017195)",-37.819201103485526,144.94841290017195
7959,15006E,Present,"(-37.817110406551436, 144.9820634536137)",-37.817110406551436,144.9820634536137
5578,12089W,Unoccupied,"(-37.81094090381197, 144.98333865476195)",-37.81094090381197,144.98333865476195
3635,7586N,Unoccupied,"(-37.80558417130324, 144.95415795040003)",-37.80558417130324,144.95415795040003
879,780E,Unoccupied,"(-37.81195047079741, 144.96782860739688)",-37.81195047079741,144.96782860739688
5537,12007W,Unoccupied,"(-37.813498645452, 144.98290903858867)",-37.813498645452,144.98290903858867
5412,11784E,Present,"(-37.811085566669895, 144.97556512143274)",-37.811085566669895,144.97556512143274
5791,12510N,Present,"(-37.815241109617574, 144.97575153747755)",-37.815241109617574,144.97575153747755
3281,5844E,Unoccupied,"(-37.806552092041514, 144.953558766649)",-37.806552092041514,144.953558766649
5571,12075W,Present,"(-37.81131002617903, 144.98327727509536)",-37.81131002617903,144.98327727509536
7053,4666Ea,Present,"(-37.805653516399715, 144.95948789451333)",-37.805653516399715,144.95948789451333
8321,12103W,Unoccupied,"(-37.810115585053275, 144.98347588944986)",-37.810115585053275,144.98347588944986
3035,5136E,Present,"(-37.803019804394694, 144.95708108619985)",-37.803019804394694,144.95708108619985
5434,11820E,Present,"(-37.81363153916266, 144.97780476785806)",-37.81363153916266,144.97780476785806
3802,C5430,Present,"(-37.808116589398395, 144.9547471729851)",-37.808116589398395,144.9547471729851
6172,13234N,Unoccupied,"(-37.81942611349134, 144.94490342879857)",-37.81942611349134,144.94490342879857
6660,13415W,Unoccupied,"(-37.81966139349092, 144.94976558136528)",-37.81966139349092,144.94976558136528
5488,11899W,Present,"(-37.81021819613768, 144.97813687105966)",-37.81021819613768,144.97813687105966
5165,C1107,Present,"(-37.815637286387144, 144.96099145080606)",-37.815637286387144,144.96099145080606
5440,11832E,Present,"(-37.8133224882197, 144.97785602807437)",-37.8133224882197,144.97785602807437
5536,12005W,Present,"(-37.81355041343346, 144.98290011748566)",-37.81355041343346,144.98290011748566
5806,12540N,Unoccupied,"(-37.815761228793, 144.9804762023069)",-37.815761228793,144.9804762023069
5529,11991W,Present,"(-37.81401364214847, 144.98282073109584)",-37.81401364214847,144.98282073109584
5838,12563S,Present,"(-37.81603640668578, 144.98127873333726)",-37.81603640668578,144.98127873333726
5824,12535S,Present,"(-37.81592700146243, 144.98028274502855)",-37.81592700146243,144.98028274502855
5819,12566N,Present,"(-37.81585716353906, 144.98135152160313)",-37.81585716353906,144.98135152160313
4260,C6852,Unoccupied,"(-37.809510592273725, 144.9557626274517)",-37.809510592273725,144.9557626274517
5572,12077W,Present,"(-37.811252279336344, 144.98328687910103)",-37.811252279336344,144.98328687910103
5908,C9072,Unoccupied,"(-37.802935640475, 144.9676046611276)",-37.802935640475,144.9676046611276
5924,12811S,Present,"(-37.80303441012997, 144.96765439598772)",-37.80303441012997,144.96765439598772
1592,1982N,Unoccupied,"(-37.81661509572447, 144.96239809594528)",-37.81661509572447,144.96239809594528
5060,9837S,Unoccupied,"(-37.82528281058076, 144.96991750774305)",-37.82528281058076,144.96991750774305
2655,10159W,Unoccupied,"(-37.80465392902081, 144.94924754947715)",-37.80465392902081,144.94924754947715
2234,3918N,Unoccupied,"(-37.812085652084235, 144.9550140018767)",-37.812085652084235,144.9550140018767
5810,12548N,Present,"(-37.815790725799076, 144.9807463290314)",-37.815790725799076,144.9807463290314
6351,13279S,Present,"(-37.82137240236109, 144.95054926796084)",-37.82137240236109,144.95054926796084
5716,12386N,Present,"(-37.810690502813486, 144.9760686161336)",-37.810690502813486,144.9760686161336
8122,15144N,Present,"(-37.81669407791513, 144.98171485993547)",-37.81669407791513,144.98171485993547
3038,5141W,Unoccupied,"(-37.803002940227515, 144.95694670562756)",-37.803002940227515,144.95694670562756
1106,C1128,Present,"(-37.81447198507954, 144.96045681691243)",-37.81447198507954,144.96045681691243
5680,12337S,Present,"(-37.810019208784226, 144.97932283012003)",-37.810019208784226,144.97932283012003
5565,12063W,Present,"(-37.81199774148857, 144.9831621671131)",-37.81199774148857,144.9831621671131
5814,12556N,Present,"(-37.81582039584319, 144.98101517498233)",-37.81582039584319,144.98101517498233
4315,C6966,Unoccupied,"(-37.80939200298975, 144.9561920623273)",-37.80939200298975,144.9561920623273
6031,13073S,Unoccupied,"(-37.821304574786026, 144.94372722737688)",-37.821304574786026,144.94372722737688
5661,12320N,Unoccupied,"(-37.80979697423187, 144.9786253759474)",-37.80979697423187,144.9786253759474
6248,13400E,Unoccupied,"(-37.81909965691749, 144.9472270428133)",-37.81909965691749,144.9472270428133
2662,10169W,Present,"(-37.80435064498897, 144.9492992310059)",-37.80435064498897,144.9492992310059
5770,12457S,Present,"(-37.81202093776078, 144.97638779659894)",-37.81202093776078,144.97638779659894
8300,C7020,Unoccupied,"(-37.8073704668276, 144.95887883885877)",-37.8073704668276,144.95887883885877
5483,11889W,Present,"(-37.810496572436, 144.97809090753464)",-37.810496572436,144.97809090753464
5909,C9076,Present,"(-37.80294280087932, 144.96766992368654)",-37.80294280087932,144.96766992368654
912,C670,Unoccupied,"(-37.81440744587311, 144.96883413715778)",-37.81440744587311,144.96883413715778
5446,11844E,Present,"(-37.81290967032932, 144.97792343027936)",-37.81290967032932,144.97792343027936
3368,6179W,Unoccupied,"(-37.80406031812777, 144.94317667886412)",-37.80406031812777,144.94317667886412
6080,13225S,Unoccupied,"(-37.81939745978721, 144.94563010486848)",-37.81939745978721,144.94563010486848
2727,4371W,Unoccupied,"(-37.80972555779269, 144.96097885944397)",-37.80972555779269,144.96097885944397
5566,12065W,Unoccupied,"(-37.81194665968286, 144.983170719415)",-37.81194665968286,144.983170719415
5906,C9064,Present,"(-37.802928530981646, 144.9675399670159)",-37.802928530981646,144.9675399670159
5513,11959W,Unoccupied,"(-37.81484011193355, 144.98267969467264)",-37.81484011193355,144.98267969467264
1398,1579S,Unoccupied,"(-37.818635437963266, 144.96374242728461)",-37.818635437963266,144.96374242728461
5465,11884E,Present,"(-37.81048633699319, 144.97832900857458)",-37.81048633699319,144.97832900857458
1282,4474E,Unoccupied,"(-37.813033688592654, 144.95430777343313)",-37.813033688592654,144.95430777343313
5336,8283W,Unoccupied,"(-37.826697283703844, 144.96767567952082)",-37.826697283703844,144.96767567952082
8766,8224E,Present,"(-37.82943524622864, 144.9669679441877)",-37.82943524622864,144.9669679441877
4654,8474E,Present,"(-37.82533323321546, 144.96689638293805)",-37.82533323321546,144.96689638293805
2469,C2824,Present,"(-37.81048691290627, 144.96837904283967)",-37.81048691290627,144.96837904283967
5541,12015W,Present,"(-37.81329104696481, 144.98294512110553)",-37.81329104696481,144.98294512110553
5558,12049W,Present,"(-37.81236163796507, 144.98310130175412)",-37.81236163796507,144.98310130175412
5756,12450N,Present,"(-37.81192570588628, 144.97656464025124)",-37.81192570588628,144.97656464025124
5921,12808N,Present,"(-37.80281691034302, 144.96741335316648)",-37.80281691034302,144.96741335316648
1528,1892N,Unoccupied,"(-37.81372065885267, 144.97230264023773)",-37.81372065885267,144.97230264023773
6109,C13532,Present,"(-37.81929825229301, 144.94565893391882)",-37.81929825229301,144.94565893391882
5527,11987W,Present,"(-37.81411708650631, 144.98280290190883)",-37.81411708650631,144.98280290190883
4192,C6654,Present,"(-37.80857614184414, 144.95900866681018)",-37.80857614184414,144.95900866681018
617,74E,Present,"(-37.80988630061974, 144.97234932661692)",-37.80988630061974,144.97234932661692
5438,11828E,Unoccupied,"(-37.813425135542516, 144.977839066507)",-37.813425135542516,144.977839066507
5442,11836E,Present,"(-37.8131171306325, 144.9778890301034)",-37.8131171306325,144.9778890301034
6390,13636E,Unoccupied,"(-37.8203709882682, 144.94457618624395)",-37.8203709882682,144.94457618624395
6373,13604E,Unoccupied,"(-37.8203624747225, 144.94402627126837)",-37.8203624747225,144.94402627126837
3120,5282E,Present,"(-37.80454551135064, 144.95744017714392)",-37.80454551135064,144.95744017714392
3496,6592N,Present,"(-37.80829650117278, 144.95963203132123)",-37.80829650117278,144.95963203132123
6420,13666E,Unoccupied,"(-37.821101689371964, 144.94544773585562)",-37.821101689371964,144.94544773585562
3586,7141S,Present,"(-37.808516453418775, 144.9525896147918)",-37.808516453418775,144.9525896147918
5484,11891W,Present,"(-37.810442933554555, 144.97809977977917)",-37.810442933554555,144.97809977977917
5493,12046E,Present,"(-37.812337421022605, 144.98334238469334)",-37.812337421022605,144.98334238469334
8136,15172N,Present,"(-37.8165908070996, 144.9807573316126)",-37.8165908070996,144.9807573316126
5820,12568N,Unoccupied,"(-37.81586448563712, 144.98141868728942)",-37.81586448563712,144.98141868728942
1265,4457W,Unoccupied,"(-37.81393783259279, 144.9544746275135)",-37.81393783259279,144.9544746275135
6323,13403W,Present,"(-37.82141258356655, 144.951144660865)",-37.82141258356655,144.951144660865
3306,5990N,Present,"(-37.80970558494704, 144.9590774502592)",-37.80970558494704,144.9590774502592
5034,9510N,Present,"(-37.828386254726624, 144.96647472925812)",-37.828386254726624,144.96647472925812
7867,2035S,Present,"(-37.81785358241264, 144.95868189337452)",-37.81785358241264,144.95868189337452
3506,6659S,Unoccupied,"(-37.80877860059651, 144.95864942534774)",-37.80877860059651,144.95864942534774
3269,5828E,Present,"(-37.80673768305752, 144.95352603375784)",-37.80673768305752,144.95352603375784
